,alpha,gamma,epsilon,eps_decay,episode,steps,episode_time,time,reward
247,0.9,0.9,0.28993519966087045,0.995,248,2,6.67000000014184e-05,22.0768358,-1.0
248,0.9,0.9,0.2884855236625661,0.995,249,2,6.580000000155906e-05,22.0769019,1.0
249,0.9,0.9,0.28704309604425327,0.995,250,1,3.949999999974807e-05,22.0769418,-1.0
250,0.9,0.9,0.285607880564032,0.995,251,2,6.49999999993156e-05,22.0770072,-1.0
251,0.9,0.9,0.28417984116121187,0.995,252,2,6.600000000034356e-05,22.0770736,1.0
252,0.9,0.9,0.2827589419554058,0.995,253,2,6.169999999983133e-05,22.0771357,-1.0
253,0.9,0.9,0.28134514724562876,0.995,254,1,4.840000000072564e-05,22.0771845,1.0
254,0.9,0.9,0.2799384215094006,0.995,255,1,4.2700000001616445e-05,22.0772276,1.0
255,0.9,0.9,0.27853872940185365,0.995,256,1,4.2600000000447835e-05,22.0772706,1.0
256,0.9,0.9,0.27714603575484437,0.995,257,2,6.750000000010914e-05,22.0773385,-1.0
257,0.9,0.9,0.2757603055760701,0.995,258,1,4.450000000133514e-05,22.0773834,1.0
258,0.9,0.9,0.2743815040481898,0.995,259,1,3.659999999783281e-05,22.0774203,-1.0
259,0.9,0.9,0.2730095965279488,0.995,260,1,4.930000000058499e-05,22.07747,1.0
260,0.9,0.9,0.27164454854530906,0.995,261,1,4.299999999801685e-05,22.0775134,1.0
261,0.9,0.9,0.2702863258025825,0.995,262,1,4.279999999923234e-05,22.0775566,1.0
262,0.9,0.9,0.2689348941735696,0.995,263,2,6.619999999912807e-05,22.0776232,1.0
263,0.9,0.9,0.26759021970270175,0.995,264,1,4.360000000147579e-05,22.0776672,1.0
264,0.9,0.9,0.2662522686041882,0.995,265,1,4.6000000001100716e-05,22.0777136,1.0
265,0.9,0.9,0.2649210072611673,0.995,266,3,0.00010849999999962279,22.0778226,-1.0
266,0.9,0.9,0.26359640222486147,0.995,267,1,8.58999999984178e-05,22.0779089,0.0
